__EMPTY,Cliente master,Id cliente,Cliente,Cnpj,Status cliente,Classificação,Time,Cidade do cliente,UF,distancia_postgis_km,Distância em KM,latitude,longitude
957,,5525,Offlog,19.205.287/0001-14,Ativo,MEDIAS EMPRESAS,PERCIVAL,Osasco,SP,367.36215983725,370,-23.5324859,-46.7916801
959,,5291,Faster Log,37.800.815/0001-65,Ativo,ROTA DE SUCESSO,LEODAGAN,Osasco,SP,367.47359632838,370,-23.5324859,-46.7916801
969,,5564,SPINA LOGÍSTICA E TRANSPORTES LTDA,20.469.145/0001-43,Ativo,ROTA DE SUCESSO,HECTOR,Osasco,SP,367.74638666363,370,-23.5324859,-46.7916801
971,,5540,ALB LOGISTICA LTDA,62.969.544/0001-13,Ativo,ROTA DE SUCESSO,HECTOR,Osasco,SP,367.84168453353,370,-23.5324859,-46.7916801
983,,5853,Transorte Partipações Ltda,82.171.265/0001-17,Inativo,ROTA DE SUCESSO,LEODAGAN,Osasco,SP,368.49903221293,370,-23.5324859,-46.7916801
991,,5281,NEGRELLI,52.871.738/0001-28,Ativo,ROTA DE SUCESSO,HECTOR,Osasco,SP,368.98351423413,370,-23.5324859,-46.7916801
994,,4129,Geofix Engenharia,47.181.664/0001-68,Inativo,ROTA DE SUCESSO,BRASTIAS,Osasco,SP,369.21224223442,370,-23.5324859,-46.7916801
997,,742,Grupo Amorim Transportes,09.159.381/0001-20,Churn,,MERLIN,Osasco,SP,369.37943614205,370,-23.5324859,-46.7916801
998,,3107,Rodogarcia Transportes - Castro/Osasco,60.960.473/0002-43,Recorrente,MEDIAS EMPRESAS,BEDIVERE,Osasco,SP,369.60218508691,370,-23.5324859,-46.7916801
934,,4333,KEEPERS LOGISTICA,65.033.573/0001-67,Inativo,MEDIAS EMPRESAS,LUCAN,Santana de Parnaíba,SP,366.31675345528,370,-23.4446715,-46.9167722
939,,3264,FSL Transportes,28.414.567/0002-04,Inativo,MEDIAS EMPRESAS,LUCAN,Santana de Parnaíba,SP,366.60240103076,370,-23.4446715,-46.9167722
960,,3552,White Limo Services,27.425.213/0001-11,,,,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
961,,5572,Odeen,55.520.395/0001-45,,,,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
962,,3040,Kailog Transportes,09.469.852/0001-05,,,,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
963,,4332,Medlive,07.752.236/0001-23,,,,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
964,Floresta VD Distribuidora de Cosméticos LTDA,4268,SANTANA - Floresta Santana de Parnaíba Com. de Cosm. e Prods. Nats. LTDA,05.301.645/0001-88,,MEDIAS EMPRESAS,BEDIVERE,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
965,,4021,WSJ Embalagens Eireli,19.492.160/0001-23,,,,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
966,,3326,Nutrition Food,29.507.180/0003-46,,,,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
967,,4850,Vitta Logística LTDA,28.251.666/0001-31,Inativo,ROTA DE SUCESSO,HECTOR,Santana de Parnaíba,SP,367.54676116391,370,-23.4446715,-46.9167722
972,,805,TRANSPORTADORA CAMPANHOLI LTDA,02.401.856/0001-02,Churn,MEDIAS EMPRESAS,PERCIVAL,Jardim Alegre,PR,367.92794427225,370,-24.1795192,-51.6927177
984,,3349,Rico Transportes Gerais,56.731.318/0001-05,,,,Santo André,SP,368.56675154843,370,-23.6533509,-46.5279039
985,,4417,Transhow,03.290.322/0001-00,Inativo,ROTA DE SUCESSO,LEODAGAN,Santo André,SP,368.56675154843,370,-23.6533509,-46.5279039
986,,3253,Dry construction,15.833.925/0003-52,,,,Santo André,SP,368.56675154843,370,-23.6533509,-46.5279039
987,,1962,RV Barbosa Transportes LTDA,38.317.883/0001-30,,,,Santo André,SP,368.56675154843,370,-23.6533509,-46.5279039
988,,4137,Inter Produções,11.239.114/0001-05,,,,Santo André,SP,368.56675154843,370,-23.6533509,-46.5279039
990,,1960,Christal Guinchos,39.611.386/0001-03,Ativo,MEDIAS EMPRESAS,LAMORAK,Santo André,SP,368.74735123081,370,-23.6533509,-46.5279039
996,,4464,RCD EXPRESS,22.134.698/0001-70,Inativo,ROTA DE SUCESSO,HECTOR,São Caetano do Sul,SP,369.37580611169,370,-23.6195923,-46.5688323
